           1           1         100           2          17           4           9           1           2           2           2           2           2           2           3           2           1           3           2           4           2           2           4           3           4           3           2           3           4           4           3           4           2           4           4           5           6           5           4           4           3           4           3           2           5           4           7      34      14       9      23      10      24      21      55
           1           1         101           2          15           4           9           3           2           3           2           2           2           3           3           2           1           2           2           3           3           4           3           4           4           4           2           4           4           2           1           3           5           4           5           2           1           2           5           4           4           6           5           4           5           5           7      31      12      13      25      14      14      29      57
           1           1         102           2          15           4           9           1           1           3           1           2           2           2           1           3           1           2           2           2           1           3           3           2           3           3           1           1           2           3           2           3           4           4           4           3           3           1           2           2           3           3           3           3           3           2           5      23       9      10      19      12      11      17      40
           1           1         103           2          15           4           9           2           1           4           2           2           1           4           2           2           4           1           1           2           4           3           2           2           2           1           1           2           1           4           1           1           4           5           5           5           6           5           5           5           6           6           4           5           4           6           7      17       7      17      24      14      26      31      71
           1           1         104           2          15           4           9           2           3           3           2           2           2           3           2           2           1           2           1           1           1           1           1           2           2           2           1           1           1           2           1           1           5           5           6           2           6           3           3           1           6           6           6           6           5           5           9      14       8       8      16      16      15      34      65
           1           1         105           2          15           4           9           2           2           3           2           2           2           1           1           2           1           3           1           2           1           2           1           1           1           2           1           1           1           2           1           1           4           3           3           1           2           1           1           1           2           3           4           2           2           2           8      12       9       7      16      10       6      15      31
           1           1         106           2          15           4           9           1           1           3           2           2           2           4           4           2           3           3           3           3           3           4           2           4           2           3           1           1           1           2           1           4           6           5           5           3           6           2           4           2           6           4           5           5           5           4           6      21      15      16      31      16      17      29      62
           1           1         107           2          15           4           9           3           2           3           2           1           1           2           2           1           3           2           1           3           2           2           2           3           4           3           3           3           4           3           2           2           5           5           6           4           6           5           3           5           4           5           6           6           4           5           8      29       9      10      19      16      23      30      69
           1           1         108           2          15           4           9           3           2           4           2           2           3           3           1           4           1           3           2           2           3           4           4           4           4           4           3           1           3           3           4           2           5           3           4           3           6           2           4           2           4           3           6           2           4           5           7      32      11      15      26      12      17      24      53
           1           1         109           2          15           4           9           1           2           2           2           2           1           2           2           1           1           2           1           2           1           1           2           3           4           2           1           1           2           3           1           3           6           5           6           4           6           6           5           5           6           5           6           6           4           6          10      22       8       6      14      17      26      33      76
           1           1         110           1          15           4           9           2           1           2           1           2           2           3           1           3           2           1           1           3           2           1           2           3           2           2           1           1           1           2           2           3           5           5           5           4           3           3           3           4           5           6           5           6           4           3           7      19       8      11      19      15      17      29      61
           1           1         111           1          15           4           9           2           2           3           2           2           2           1           1           3           1           4           2           3           3           4           2           3           3           2           2           3           1           4           1           1           5           5           6           3           6           5           5           4           5           6           5           6           6           5           7      22      12      12      24      16      23      33      72
           1           1         112           1          15           4           9           1           1           2           2           2           2           1           2           1           1           3           3           1           1           3           3           4           2           4           4           4           2           3           1           2           6           6           6           6           6           6           6           6           6           4           6           6           5           6           8      29      11       7      18      18      30      33      81
           1           1         113           1          15           4           9           3           1           2           2           1           3           4           2           4           1           3           4           3           1           3           3           4           4           4           2           4           4           3           4           3           5           1           3           2           6           1           2           1           3           5           6           6           6           5           6      35      15      13      28       9      12      31      52
           1           1         114           1          15           4           9           1           1           2           2           2           1           2           1           2           1           2           1           1           3           1           3           4           1           1           1           1           2           2           1           1           5           5           6           3           5           5           5           5           5           5           5           5           6           6           7      17       6       9      15      16      23      32      71
           1           1         115           1          15           4           9           1           1           3           2           2           1           1           3           2           1           3           4           4           2           1           1           4           3           4           2           4           4           4           1           4           6           4           5           5           6           4           4           1           5           5           6           5           4           4          10      31      15       7      22      15      20      29      64
           1           1         116           2          15           4           9           2           1           2           1           2           2           3           1           2           1           1           1           1           1           2           2           2           2           2           2           1           1           1           1           1           5           4           5           2           6           2           3           4           5           5           5           5           5           5           8      15       6       9      15      14      17      30      61
           1           1         117           2          15           4           9           2           2           2           2           2           3           3           1           2           1           2           1           3           2           3           2           3           1           2           2           2           1           4           2           3           5           4           5           4           6           4           4           4           5           5           3           5           4           6           7      22      10      11      21      14      22      28      64
           1           1         118           1          15           4           9           1           1           2           2           2           2           3           3           1           1           1           1           2           3           3           3           3           1           2           1           2           2           3           1           1           5           6           6           4           6           4           4           4           5           5           5           5           5           5          10      19       9      11      20      17      22      30      69
           1           1         119           2          15           4           9           3           2           2           2           2           2           1           3           1           1           3           2           2           1           1           1           3           4           3           2           1           3           2           3           1           5           5           6           4           6           4           2           2           1           6           5           6           6           6           8      23      12       5      17      16      18      30      64
           1           1         120           2          15           4           9           1           1           2           2           1           1           2           1           1           1           2           1           1           1           1           2           2           1           2           1           1           2           1           1           1           5           4           6           3           6           4           6           5           5           6           6           4           4           5           9      14       6       6      12      15      24      30      69
           1           1         121           2          15           4           9           2           1           3           2           2           3           4           1           2           3           4           3           3           3           2           4           4           3           3           3           1           2           3           3           4           5           4           4           3           2           1           4           1           3           4           4           3           4           1           8      30      14      14      28      13      11      19      43
           1           1         122           2          15           4           9           2           3           4           2           2           2           3           3           2           1           3           1           3           2           2           2           3           3           3           3           2           3           2           4           3           4           5           3           2           6           3           2           3           2           3           5           3           5           2           4      28      12      10      22      12      16      20      48
           1           1         123           2          15           4           9           2           1           3           2           1           2           1           1           2           1           2           3           2           1           2           3           3           4           3           1           2           2           3           3           3           6           5           4           1           4           2           2           1           4           5           6           4           3           2           8      27      10       7      17      15      10      24      49
           1           1         124           1          15           4           9           3           6           2           1           1           4           4           2           4           1           4           4           2           1           2           2           2           4           4           4           4           4           4           4           4           4           3           2           6           6           6           5           6           4           6           6           3           2           2           7      36      16      12      28       9      29      23      61
           1           1         125           2          15           4           9           3           1           2           2           2           3           2           2           4           2           3           1           3           2           4           2           4           4           3           3           3           4           3           4           4           4           4           4           4           5           4           4           3           3           4           4           2           3           5           7      34      12      14      26      12      20      21      53
           1           1         126           1          15           4           9           1           1           2           2           2           1           1           1           2           1           1           1           1           1           1           1           2           1           2           1           1           1           2           1           1           5           5           6           1           6           5           5           5           5           5           6           2           5           6           9      13       5       6      11      16      22      29      67
           1           1         127           2          15           4           9           2           1           1           1           1           2           1           3           1           1           3           1           1           1           2           1           1           3           3           1           1           1           1           3           4           6           1           5           3           2           6           5           3           4           3           6           6           5           2          10      19      10       6      16      12      19      26      57
           1           1         128           2          15           4           9           1           2           2           2           2           2           3           1           3           1           2           1           2           3           3           4           4           4           4           3           3           2           4           2           3           2           1           1           1           5           1           1           2           1           2           1           2           1           2           4      33       8      13      21       4      10       9      23
           1           1         129           2          14           4           9           1           2           3           2           2           1           2           1           3           1           3           2           1           1           2           2           3           1           2           1           2           1           2           2           1           5           5           4           3           5           4           4           3           5           3           4           3           4           4           7      17       8       9      17      14      19      23      56
           1           1         130           1          15           4           9           6           1           2           2           2           2           2           1           2           1           1           2           1           1           1           2           3           1           2           1           1           1           2           1           1           6           5           5           2           6           5           5           5           6           5           6           5           4           6           8      15       7       7      14      16      23      32      71
           1           1         131           1          15           4           9           1           2           4           1           2           1           3           4           4           1           3           2           4           2           4           2           3           4           4           3           3           1           4           1           4           5           2           1           1           4           1           2           5           6           6           2           4           2           4           4      29      14      14      28       8      13      24      45
           2           1         150           1          15           4           9           3           3           3           2           1           2           1           1           1           3           2           2           3           2           4           2           2           2           2           1           1           2           2           1           3           4           3           5           1           6           5           4           3           5           5           4           5           4           5           6      18      10      11      21      12      19      28      59
           2           1         151           1          15           4           9           3           6           3           2           2           1           1           1           1           1           2           2           1           2           2           2           3           3           2           1           1           1           2           1           2           5           5           5           1           6           1           5           5           6           4           6           5           6           1           7      18       7       7      14      15      18      28      61
